Year,Player,Win%_Rk,Win,Loss,Tie,Win%,Year,Player,Win_Rk,Win,Loss,Games,Win%,Teams,Year,Player,Win%_Rk,Win,Loss,Tie,Games,Win%
2025,Victoria,0,0,0,0,,2023,Victoria,1,40,19,59,67.8,4,2025,Victoria,0,0,0,0,0,
2025,JP,0,0,0,0,,2020,Alex,2,39,14,53,73.6,4,2025,JP,0,0,0,0,0,
2025,Cameron,0,0,0,0,,2019,Jordan,3,38,18,56,67.9,4,2025,Cameron,0,0,0,0,0,
2025,Brandon,0,0,0,0,,2017,Jackson,4,37,17,54,68.5,4,2025,Brandon,0,0,0,0,0,
2025,Alex,0,0,0,0,,2024,JP,5,36,18,54,66.7,4,2025,Alex,0,0,0,0,0,
2025,Jordan,0,0,0,0,,2024,Brandon,5,36,21,57,63.2,4,2025,Jordan,0,0,0,0,0,
2025,Bill,1,1,0,0,100.0,2018,Brandon,5,36,18,54,66.7,4,2025,Bill,1,1,0,0,1,100.0
2020,Alex,2,43,21,0,67.2,2021,Dan,5,36,19,55,65.5,4,2020,Alex,2,45,24,0,69,65.2
2021,Dan,3,44,24,0,64.7,2020,Jordan,6,35,18,53,66.0,4,2021,Dan,3,45,27,0,72,62.5
2018,Brandon,4,40,24,0,62.5,2024,Dan,7,28,11,39,71.8,4,2018,Brandon,4,43,27,0,70,61.4
