Year,Round,Pick,Reg_Win,Reg_Loss,Reg_Tie,Reg_Games,Playoff_Seed,Playoff_Win,Playoff_Loss,Playoff_Games,Total_Win,Total_Loss,Total_Tie,Total_Games,Full_Ssn_Proj_Wins,Wins_Over_Ssn_Proj,Current_Proj_Wins,Wins_Over_Current_Proj,Reg_Win%,Playoff_Win%,Total_Win%,Playoff_Teams
2017,1,28,67.0,45.0,0.0,112.0,9.0,3.0,3.0,6.0,70.0,48.0,0.0,118.0,60.9,9.1,0.0,0.0,59.8,50.0,59.3,3
2017,2,77,56.0,56.0,0.0,112.0,14.0,1.0,3.0,4.0,57.0,59.0,0.0,116.0,53.8,3.2,0.0,0.0,50.0,25.0,49.1,3
2017,3,126,54.0,58.0,0.0,112.0,6.0,2.0,2.0,4.0,56.0,60.0,0.0,116.0,51.7,4.300000000000001,0.0,0.0,48.2,50.0,48.3,2
2017,4,175,55.0,57.0,0.0,112.0,4.0,3.0,1.0,4.0,58.0,58.0,0.0,116.0,56.6,1.4000000000000004,0.0,0.0,49.1,75.0,50.0,2
2017,99,122,24.0,40.0,0.0,64.0,9.0,2.0,2.0,4.0,26.0,42.0,0.0,68.0,26.299999999999997,-0.2999999999999998,0.0,0.0,37.5,50.0,38.2,2
2018,1,28,69.0,40.0,3.0,112.0,11.0,7.0,3.0,10.0,76.0,43.0,3.0,122.0,68.39999999999999,7.6,0.0,0.0,61.6,70.0,62.3,4
2018,2,77,61.0,51.0,0.0,112.0,9.0,1.0,3.0,4.0,62.0,54.0,0.0,116.0,61.4,0.5999999999999996,0.0,0.0,54.5,25.0,53.4,3
2018,3,126,52.0,60.0,0.0,112.0,13.0,2.0,3.0,5.0,54.0,63.0,0.0,117.0,49.699999999999996,4.300000000000001,0.0,0.0,46.4,40.0,46.2,3
2018,4,175,50.0,62.0,0.0,112.0,9.0,1.0,2.0,3.0,51.0,64.0,0.0,115.0,51.3,-0.3000000000000007,0.0,0.0,44.6,33.3,44.3,2
2018,99,122,22.0,41.0,1.0,64.0,0.0,0.0,0.0,0.0,22.0,41.0,1.0,64.0,20.7,1.3000000000000003,0.0,0.0,34.4,,34.4,0
2019,1,28,70.0,42.0,0.0,112.0,18.0,4.0,4.0,8.0,74.0,46.0,0.0,120.0,71.10000000000001,2.8999999999999995,0.0,0.0,62.5,50.0,61.7,5
2019,2,77,61.0,51.0,0.0,112.0,7.0,2.0,2.0,4.0,63.0,53.0,0.0,116.0,57.1,5.9,0.0,0.0,54.5,50.0,54.3,2
2019,3,126,67.0,45.0,0.0,112.0,17.0,5.0,5.0,10.0,72.0,50.0,0.0,122.0,62.7,9.3,0.0,0.0,59.8,50.0,59.0,5
2019,4,175,38.0,72.0,2.0,112.0,0.0,0.0,0.0,0.0,38.0,72.0,2.0,112.0,40.4,-2.3999999999999995,0.0,0.0,33.9,,33.9,0
2019,99,122,19.0,45.0,0.0,64.0,0.0,0.0,0.0,0.0,19.0,45.0,0.0,64.0,19.599999999999998,-0.6000000000000001,0.0,0.0,29.7,,29.7,0
2020,1,28,67.0,45.0,0.0,112.0,13.0,8.0,3.0,11.0,75.0,48.0,0.0,123.0,66.8,8.200000000000001,0.0,0.0,59.8,72.7,61.0,4
2020,2,77,71.0,40.0,1.0,112.0,15.0,4.0,5.0,9.0,75.0,45.0,1.0,121.0,65.7,9.3,0.0,0.0,63.4,44.4,62.0,5
2020,3,126,50.0,61.0,1.0,112.0,17.0,1.0,3.0,4.0,51.0,64.0,1.0,116.0,50.7,0.29999999999999893,0.0,0.0,44.6,25.0,44.0,3
2020,4,175,52.0,60.0,0.0,112.0,7.0,0.0,1.0,1.0,52.0,61.0,0.0,113.0,50.60000000000001,1.3999999999999995,0.0,0.0,46.4,0.0,46.0,1
2020,99,122,15.0,49.0,0.0,64.0,4.0,0.0,0.0,0.0,15.0,49.0,0.0,64.0,19.5,-4.5,0.0,0.0,23.4,,23.4,1
2021,1,28,79.0,40.0,0.0,119.0,18.0,8.0,5.0,13.0,87.0,45.0,0.0,132.0,79.7,7.299999999999998,0.0,0.0,66.4,61.5,65.9,6
2021,2,77,67.0,52.0,0.0,119.0,10.0,2.0,3.0,5.0,69.0,55.0,0.0,124.0,70.4,-1.4000000000000004,0.0,0.0,56.3,40.0,55.6,3
2021,3,126,56.0,62.0,1.0,119.0,7.0,0.0,1.0,1.0,56.0,63.0,1.0,120.0,50.300000000000004,5.7,0.0,0.0,47.1,0.0,46.7,1
2021,4,175,49.0,70.0,0.0,119.0,17.0,0.0,3.0,3.0,49.0,73.0,0.0,122.0,44.8,4.200000000000001,0.0,0.0,41.2,0.0,40.2,3
2021,99,122,20.0,47.0,1.0,68.0,4.0,3.0,1.0,4.0,23.0,48.0,1.0,72.0,21.7,1.3000000000000007,0.0,0.0,29.4,75.0,31.9,1
2023,1,36,79.0,57.0,0.0,136.0,13.0,4.0,3.0,7.0,83.0,60.0,0.0,143.0,78.7,4.3000000000000025,83.42941176470586,-0.42941176470587905,58.1,57.1,58.0,5
2023,2,100,70.0,66.0,0.0,136.0,10.0,3.0,1.0,4.0,73.0,67.0,0.0,140.0,72.2,0.799999999999998,74.9,-1.900000000000003,51.5,75.0,52.1,3
2023,3,164,67.0,69.0,0.0,136.0,19.0,1.0,3.0,4.0,68.0,72.0,0.0,140.0,59.99999999999999,7.999999999999998,62.06470588235293,5.935294117647057,49.3,25.0,48.6,3
2023,4,228,56.0,80.0,0.0,136.0,14.0,2.0,3.0,5.0,58.0,83.0,0.0,141.0,55.599999999999994,2.4,58.311764705882354,-0.3117647058823523,41.2,40.0,41.1,3
2024,1,36,34.0,18.0,0.0,52.0,0.0,0.0,0.0,0.0,34.0,18.0,0.0,52.0,84.19999999999999,-50.19999999999999,32.258823529411764,1.7411764705882349,65.4,,65.4,0
2024,2,100,25.0,30.0,0.0,55.0,0.0,0.0,0.0,0.0,25.0,30.0,0.0,55.0,58.7,-33.7,23.958823529411767,1.0411764705882343,45.5,,45.5,0
2024,3,164,28.0,24.0,0.0,52.0,0.0,0.0,0.0,0.0,28.0,24.0,0.0,52.0,76.39999999999999,-48.39999999999999,29.082352941176467,-1.0823529411764703,53.8,,53.8,0
2024,4,228,20.0,35.0,0.0,55.0,0.0,0.0,0.0,0.0,20.0,35.0,0.0,55.0,54.300000000000004,-34.3,22.041176470588233,-2.0411764705882365,36.4,,36.4,0
