Year,Round,Pick,Player,Team,Week,Wins,Games_Played,Week_Type
2017,1,1,Alex,Patriots,1,0,1,RegSsn
2017,1,1,Alex,Patriots,2,1,2,RegSsn
2017,1,1,Alex,Patriots,3,2,3,RegSsn
2017,1,1,Alex,Patriots,4,2,4,RegSsn
2017,1,1,Alex,Patriots,5,3,5,RegSsn
2017,1,1,Alex,Patriots,6,4,6,RegSsn
2017,1,1,Alex,Patriots,7,5,7,RegSsn
2017,1,1,Alex,Patriots,8,6,8,RegSsn
2017,1,1,Alex,Patriots,10,7,9,RegSsn
2017,1,1,Alex,Patriots,11,8,10,RegSsn
2017,1,1,Alex,Patriots,12,9,11,RegSsn
2017,1,1,Alex,Patriots,13,10,12,RegSsn
2017,1,1,Alex,Patriots,14,10,13,RegSsn
2017,1,1,Alex,Patriots,15,11,14,RegSsn
2017,1,1,Alex,Patriots,16,12,15,RegSsn
2017,1,1,Alex,Patriots,17,13,16,RegSsn
2017,1,1,Alex,Patriots,Division,14,17,Playoffs
2017,1,1,Alex,Patriots,Conf. Champ.,15,18,Playoffs
2017,1,1,Alex,Patriots,SuperBowl,15,19,Playoffs
2017,1,2,Mike,Seahawks,1,0,1,RegSsn
2017,1,2,Mike,Seahawks,2,1,2,RegSsn
2017,1,2,Mike,Seahawks,3,1,3,RegSsn
2017,1,2,Mike,Seahawks,4,2,4,RegSsn
2017,1,2,Mike,Seahawks,5,3,5,RegSsn
2017,1,2,Mike,Seahawks,7,4,6,RegSsn
2017,1,2,Mike,Seahawks,8,5,7,RegSsn
2017,1,2,Mike,Seahawks,9,5,8,RegSsn
2017,1,2,Mike,Seahawks,10,6,9,RegSsn
2017,1,2,Mike,Seahawks,11,6,10,RegSsn
2017,1,2,Mike,Seahawks,12,7,11,RegSsn
2017,1,2,Mike,Seahawks,13,8,12,RegSsn
2017,1,2,Mike,Seahawks,14,8,13,RegSsn
2017,1,2,Mike,Seahawks,15,8,14,RegSsn
2017,1,2,Mike,Seahawks,16,9,15,RegSsn
2017,1,2,Mike,Seahawks,17,9,16,RegSsn
2017,1,3,Dan,Steelers,1,1,1,RegSsn
2017,1,3,Dan,Steelers,2,2,2,RegSsn
2017,1,3,Dan,Steelers,3,2,3,RegSsn
2017,1,3,Dan,Steelers,4,3,4,RegSsn
2017,1,3,Dan,Steelers,5,3,5,RegSsn
2017,1,3,Dan,Steelers,6,4,6,RegSsn
2017,1,3,Dan,Steelers,7,5,7,RegSsn
2017,1,3,Dan,Steelers,8,6,8,RegSsn
2017,1,3,Dan,Steelers,10,7,9,RegSsn
